Time (UTCG),azimuth_1,elevation_1,range_1,azimuth_2,elevation_2,range_2,azimuth_3,elevation_3,range_3
23 Mar 2024 07:32:00.000,331.059,46.213,752.396018,7.230,30.126,1010.073412,32.189,17.401,1426.094947
06 Mar 2024 11:48:00.000,82.655,11.058,1775.101106,175.804,7.697,1999.989667,51.921,7.836,1999.982302
07 Mar 2024 11:39:00.000,217.287,21.253,1267.569681,316.194,20.919,1282.579834,117.705,24.456,1152.978758
11 Mar 2024 14:51:00.000,275.056,62.599,626.472050,304.895,7.849,1999.983460,225.750,10.236,1817.640204
25 Mar 2024 05:42:00.000,268.188,13.621,1617.365711,30.780,25.878,1118.648641,67.730,14.973,1543.016468
10 Mar 2024 11:29:00.000,255.979,13.709,1613.512318,244.135,36.131,887.429428,155.515,7.645,1999.993899
22 Mar 2024 09:17:00.000,41.636,57.941,653.675796,302.834,7.843,1999.983421,318.795,40.859,813.789425
30 Mar 2024 00:28:00.000,159.532,10.121,1824.904879,42.705,15.471,1519.297327,47.768,10.327,1818.427369
29 Mar 2024 03:56:00.000,62.770,24.578,1158.136377,261.347,18.312,1383.129084,310.499,13.421,1627.974143
10 Mar 2024 13:14:00.000,23.484,46.925,745.281600,287.470,7.842,2000.000032,169.580,10.976,1764.840153
20 Mar 2024 12:46:00.000,177.904,13.796,1603.574953,144.998,16.976,1440.982197,139.498,15.245,1522.386208
21 Mar 2024 09:23:00.000,84.277,14.520,1570.968513,300.723,18.838,1363.760349,278.317,7.789,1999.984143
21 Mar 2024 05:55:00.000,223.774,21.574,1254.577802,36.569,18.383,1385.086846,156.760,9.157,1890.577382
26 Mar 2024 07:23:00.000,334.418,51.451,701.626143,127.826,15.416,1516.608231,49.782,24.512,1157.592196
13 Mar 2024 09:41:00.000,238.722,22.063,1239.398363,53.516,7.858,1999.990574,68.581,7.777,1999.980989
30 Mar 2024 05:30:00.000,308.164,33.433,939.628710,332.022,23.080,1204.161506,109.109,7.746,1999.990201
08 Mar 2024 15:05:00.000,91.352,8.707,1934.884496,287.180,7.828,1999.979739,285.481,7.787,1999.984686
10 Mar 2024 11:35:00.000,65.899,25.482,1132.790724,114.272,60.247,635.883088,278.626,7.793,1999.980794
10 Mar 2024 13:12:00.000,305.255,32.459,960.771747,306.466,7.863,1999.998377,227.400,34.248,918.850815
22 Mar 2024 07:37:00.000,49.736,34.615,918.285772,84.930,17.673,1412.013789,337.063,21.344,1265.546248
28 Mar 2024 02:12:00.000,209.086,7.708,1999.978079,59.471,13.661,1616.810283,50.663,7.824,1999.997418
14 Mar 2024 08:03:00.000,92.535,12.408,1689.836436,47.109,19.317,1345.277692,286.582,7.805,1999.990309
03 Mar 2024 11:53:00.000,148.690,12.252,1693.896372,295.732,7.857,1999.983890,281.858,7.793,1999.989652
23 Mar 2024 07:36:00.000,71.572,14.086,1595.317823,287.789,35.955,890.675114,87.648,13.240,1632.043834
22 Mar 2024 12:36:00.000,245.131,7.812,1999.999865,66.670,65.834,609.044807,345.412,22.195,1235.047053
21 Mar 2024 07:40:00.000,49.771,36.718,881.189929,229.887,7.696,1999.978287,243.030,48.050,728.930172
28 Mar 2024 09:03:00.000,150.662,7.755,1999.999295,119.307,7.759,1999.992109,47.822,11.950,1715.769982
15 Mar 2024 09:39:00.000,56.324,40.975,816.689360,230.405,17.550,1412.655072,37.801,16.074,1487.570585
14 Mar 2024 14:47:00.000,145.761,7.754,1999.975418,164.666,7.698,1999.987563,309.162,7.832,1999.972693
22 Mar 2024 04:11:00.000,189.493,7.713,1999.976728,121.599,41.121,809.177140,150.106,7.657,1999.977354
03 Mar 2024 15:11:00.000,272.741,13.537,1624.310664,196.192,25.448,1126.443356,313.668,21.499,1258.891230
26 Mar 2024 07:25:00.000,70.268,36.828,878.569885,302.556,50.540,706.665862,152.677,10.694,1785.495162
19 Mar 2024 12:51:00.000,152.773,8.854,1918.069202,39.831,37.806,860.364767,316.033,12.374,1687.914898
14 Mar 2024 08:00:00.000,144.036,25.296,1134.138166,357.314,25.230,1137.687295,299.943,36.448,881.224616
23 Mar 2024 07:35:00.000,64.937,22.084,1241.784935,97.534,14.294,1578.055222,96.759,9.099,1901.482068
04 Mar 2024 18:33:00.000,230.365,43.168,785.057160,61.423,9.355,1886.566423,294.989,7.822,1999.991735
05 Mar 2024 13:26:00.000,252.118,22.165,1236.693569,278.351,13.077,1647.914932,239.355,9.544,1866.392449
05 Mar 2024 11:50:00.000,104.205,18.109,1395.656374,284.877,12.878,1658.535517,42.625,12.881,1660.120969
29 Mar 2024 08:56:00.000,211.598,20.871,1280.498272,4.308,26.661,1097.735476,187.674,12.156,1692.177849
17 Mar 2024 09:36:00.000,71.641,7.895,1999.990390,100.117,17.849,1404.434409,56.299,8.992,1913.409588
21 Mar 2024 10:58:00.000,281.461,21.962,1245.622969,35.893,32.093,964.845826,126.367,7.683,1999.979818
27 Mar 2024 03:58:00.000,242.374,36.100,888.173918,92.313,7.800,1999.978085,299.626,7.829,1999.978874
07 Mar 2024 11:38:00.000,223.548,13.463,1624.349765,40.467,18.057,1398.700996,8.521,25.352,1132.855051
22 Mar 2024 04:15:00.000,131.223,17.337,1426.223030,46.794,13.376,1633.942213,102.322,24.226,1164.028573
31 Mar 2024 03:47:00.000,323.773,47.961,732.894214,158.140,8.328,1953.241291,113.932,7.729,1999.996841
22 Mar 2024 09:21:00.000,94.228,8.923,1919.984889,72.616,7.820,1999.990121,82.721,10.966,1772.256234
25 Mar 2024 07:28:00.000,62.127,34.639,917.345912,106.553,8.777,1922.182659,252.311,13.563,1615.950937
29 Mar 2024 08:57:00.000,192.399,18.372,1380.056047,294.703,13.721,1611.369884,99.706,7.760,1999.987082
31 Mar 2024 03:51:00.000,68.499,14.365,1578.546777,230.110,35.957,888.450242,118.819,42.524,791.153536
28 Mar 2024 08:54:00.000,277.445,7.858,1999.990216,274.632,20.462,1297.553565,352.040,24.439,1158.604093
21 Mar 2024 11:05:00.000,124.480,8.766,1927.367463,105.786,9.909,1843.087309,26.400,27.300,1076.365702
29 Mar 2024 02:09:00.000,215.671,13.175,1636.024568,195.248,14.926,1537.384841,82.801,7.786,1999.998392
01 Mar 2024 17:04:00.000,67.399,21.876,1247.804683,54.311,25.226,1137.836844,228.467,7.720,1999.997968
31 Mar 2024 08:50:00.000,207.732,8.921,1912.557044,91.920,7.763,1999.988459,46.821,17.210,1434.616731
27 Mar 2024 02:19:00.000,136.930,20.682,1286.101283,183.759,11.943,1707.686237,235.258,12.368,1683.387460
